2026-09-12T21:29:05.783+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'orgMapper' and 'cn.jia.user.mapper.OrgMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.785+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'orgRelMapper' and 'cn.jia.user.mapper.OrgRelMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.786+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'permsMapper' and 'cn.jia.user.mapper.PermsMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.787+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'permsRelMapper' and 'cn.jia.user.mapper.PermsRelMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.789+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'roleMapper' and 'cn.jia.user.mapper.RoleMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.790+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'roleRelMapper' and 'cn.jia.user.mapper.RoleRelMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.792+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'smsBuyMapper' and 'cn.jia.sms.mapper.SmsBuyMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.794+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'smsCodeMapper' and 'cn.jia.sms.mapper.SmsCodeMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.795+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'smsConfigMapper' and 'cn.jia.sms.mapper.SmsConfigMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.797+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'smsMessageMapper' and 'cn.jia.sms.mapper.SmsMessageMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.798+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'smsPackageMapper' and 'cn.jia.sms.mapper.SmsPackageMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.800+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'smsReplyMapper' and 'cn.jia.sms.mapper.SmsReplyMapper' mapperInterface. Bean already defined with the same name!
2026-09-12T21:29:05.802+08:00  WARN 2599975 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'smsSendMapper' and 'cn.jia.sms.mapper.SmsSendMapper' mapperInterface. Bean already defined with the same name!
