2026-09-13T16:37:20.506+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'matPhraseMapper' and 'cn.jia.mat.mapper.MatPhraseMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.507+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'matPhraseVoteMapper' and 'cn.jia.mat.mapper.MatPhraseVoteMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.508+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'matPvLogMapper' and 'cn.jia.mat.mapper.MatPvLogMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.509+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'matTipMapper' and 'cn.jia.mat.mapper.MatTipMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.510+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'matVoteItemMapper' and 'cn.jia.mat.mapper.MatVoteItemMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.511+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'matVoteMapper' and 'cn.jia.mat.mapper.MatVoteMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.512+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'matVoteQuestionMapper' and 'cn.jia.mat.mapper.MatVoteQuestionMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.514+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'matVoteTickMapper' and 'cn.jia.mat.mapper.MatVoteTickMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.515+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'oauthApiKeyMapper' and 'cn.jia.oauth.mapper.OauthApiKeyMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.516+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'oauthClientMapper' and 'cn.jia.oauth.mapper.OauthClientMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.517+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'groupMapper' and 'cn.jia.user.mapper.GroupMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.518+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'groupRelMapper' and 'cn.jia.user.mapper.GroupRelMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.519+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'infoMapper' and 'cn.jia.user.mapper.InfoMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.520+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'msgMapper' and 'cn.jia.user.mapper.MsgMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.521+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'orgMapper' and 'cn.jia.user.mapper.OrgMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.521+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'orgRelMapper' and 'cn.jia.user.mapper.OrgRelMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.522+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'permsMapper' and 'cn.jia.user.mapper.PermsMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.523+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'permsRelMapper' and 'cn.jia.user.mapper.PermsRelMapper' mapperInterface. Bean already defined with the same name!
2026-09-13T16:37:20.524+08:00  WARN 2186731 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'roleMapper' and 'cn.jia.user.mapper.RoleMapper' mapperInterface. Bean already defined with the same name!
